,region,Year,population
0,EE & CA,-10000,749642.0
1,EE & CA,-9000,884753.0
2,EE & CA,-8000,1049320.0
3,EE & CA,-7000,1253143.0
4,EE & CA,-6000,1546715.0
5,EE & CA,-5000,1894568.0
6,EE & CA,-4000,2362949.0
7,EE & CA,-3000,3017705.0
8,EE & CA,-2000,4191518.0
9,EE & CA,-1000,5790189.0
10,EE & CA,0,8474648.0
11,EE & CA,100,9011415.0
12,EE & CA,200,9566008.0
13,EE & CA,300,9858652.0
14,EE & CA,400,10165874.0
15,EE & CA,500,10126770.0
16,EE & CA,600,10108291.0
17,EE & CA,700,10855200.0
18,EE & CA,800,11641404.0
19,EE & CA,900,12638676.0
20,EE & CA,1000,13636832.0
21,EE & CA,1100,16793040.0
22,EE & CA,1200,23293105.0
23,EE & CA,1300,25874990.0
24,EE & CA,1400,24225748.0
25,EE & CA,1500,29946368.0
26,EE & CA,1600,36846108.0
27,EE & CA,1700,42109935.0
28,EE & CA,1710,44969545.0
29,EE & CA,1720,48092552.0
30,EE & CA,1730,51303651.0
31,EE & CA,1740,54609673.0
32,EE & CA,1750,58017664.0
33,EE & CA,1760,61534576.0
34,EE & CA,1770,65169672.0
35,EE & CA,1780,68930822.0
36,EE & CA,1790,72829311.0
37,EE & CA,1800,88812433.0
38,EE & CA,1801,88574829.0
39,EE & CA,1802,88722327.0
40,EE & CA,1803,88871138.0
41,EE & CA,1804,89021274.0
42,EE & CA,1805,89172748.0
43,EE & CA,1806,89325572.0
44,EE & CA,1807,89479758.0
45,EE & CA,1808,89635318.0
46,EE & CA,1809,89792267.0
47,EE & CA,1810,89952030.0
48,EE & CA,1811,90125566.0
49,EE & CA,1812,90314418.0
50,EE & CA,1813,90518729.0
51,EE & CA,1814,90738640.0
52,EE & CA,1815,90974295.0
53,EE & CA,1816,91225838.0
54,EE & CA,1817,91493420.0
55,EE & CA,1818,91777183.0
56,EE & CA,1819,92131101.0
57,EE & CA,1820,92939564.0
58,EE & CA,1821,93051769.0
59,EE & CA,1822,93619723.0
60,EE & CA,1823,94260232.0
61,EE & CA,1824,94920092.0
62,EE & CA,1825,95603159.0
63,EE & CA,1826,96354233.0
64,EE & CA,1827,97126060.0
65,EE & CA,1828,97918836.0
66,EE & CA,1829,98732761.0
67,EE & CA,1830,99568027.0
68,EE & CA,1831,100384264.0
69,EE & CA,1832,101207713.0
70,EE & CA,1833,102038431.0
71,EE & CA,1834,102876499.0
72,EE & CA,1835,103721963.0
73,EE & CA,1836,104574909.0
74,EE & CA,1837,105435396.0
75,EE & CA,1838,106303492.0
76,EE & CA,1839,107179274.0
77,EE & CA,1840,108062807.0
78,EE & CA,1841,108958205.0
79,EE & CA,1842,109861546.0
80,EE & CA,1843,110772906.0
81,EE & CA,1844,111692365.0
82,EE & CA,1845,112619986.0
83,EE & CA,1846,113555849.0
84,EE & CA,1847,114500027.0
85,EE & CA,1848,115452599.0
86,EE & CA,1849,116426121.0
87,EE & CA,1850,117420963.0
88,EE & CA,1851,118424948.0
89,EE & CA,1852,119450744.0
90,EE & CA,1853,120498708.0
91,EE & CA,1854,121556737.0
92,EE & CA,1855,122624938.0
93,EE & CA,1856,123703403.0
94,EE & CA,1857,124792247.0
95,EE & CA,1858,125891564.0
96,EE & CA,1859,127001465.0
97,EE & CA,1860,128122058.0
98,EE & CA,1861,129247747.0
99,EE & CA,1862,130384279.0
100,EE & CA,1863,131531753.0
101,EE & CA,1864,132690291.0
102,EE & CA,1865,133859995.0
103,EE & CA,1866,135040980.0
104,EE & CA,1867,136233368.0
105,EE & CA,1868,137437262.0
106,EE & CA,1869,138666271.0
107,EE & CA,1870,139920840.0
108,EE & CA,1871,141150144.0
109,EE & CA,1872,142461704.0
110,EE & CA,1873,143800248.0
111,EE & CA,1874,145152785.0
112,EE & CA,1875,146519470.0
113,EE & CA,1876,147900464.0
114,EE & CA,1877,149295927.0
115,EE & CA,1878,150706026.0
116,EE & CA,1879,152136541.0
117,EE & CA,1880,153587697.0
118,EE & CA,1881,155057499.0
119,EE & CA,1882,156548361.0
120,EE & CA,1883,158060524.0
121,EE & CA,1884,159588587.0
122,EE & CA,1885,161132737.0
123,EE & CA,1886,162693159.0
124,EE & CA,1887,164270027.0
125,EE & CA,1888,165863545.0
126,EE & CA,1889,167442976.0
127,EE & CA,1890,169007828.0
128,EE & CA,1891,170566314.0
129,EE & CA,1892,172109279.0
130,EE & CA,1893,173636182.0
131,EE & CA,1894,175177323.0
