country,year,region,PIP: Gini – all observations,WID: Top 1pc share – pretax – all observations,PIP: Gini – only matching observations,WID: Top 1pc share – pretax – only matching observations
Albania,1996,EE & CA,27.01034197508885,8.14,27.01034197508885,8.14
Albania,2015,EE & CA,32.75373177638622,9.62,32.75373177638622,9.62
Angola,1995,SS Africa,,21.98,,
Angola,2018,SS Africa,,25.98,,
Argentina,1993,LAC,44.85628585171292,13.98,44.85628585171292,13.98
Argentina,2015,LAC,,15.6,,15.6
Argentina,2016,LAC,42.03252890095214,,42.03252890095214,
Armenia,1996,EE & CA,44.41862299727733,18.97,44.41862299727733,18.97
Armenia,2015,EE & CA,32.356771796160224,15.04,32.356771796160224,15.04
Australia,1993,W. Offshoots,,8.16,,8.16
Australia,1995,W. Offshoots,32.5819904320173,,32.5819904320173,
Australia,2015,W. Offshoots,,11.82,,11.82
Australia,2016,W. Offshoots,33.68581054524752,,33.68581054524752,
Austria,1994,W. Europe,31.32234231243466,,,
Austria,2015,W. Europe,30.532775035077268,,,
Bahrain,1995,MENA,,20.83,,
Bahrain,2015,MENA,,24.34,,
Bangladesh,1991,S & SE Asia,27.5708056020332,12.58,27.5708056020332,12.58
Bangladesh,2016,S & SE Asia,32.38527251961526,16.150000000000002,32.38527251961526,16.150000000000002
Belarus,1993,EE & CA,21.60371933908537,8.66,21.60371933908537,8.66
Belarus,2015,EE & CA,25.63322626514249,9.03,25.63322626514249,9.03
Belgium,1992,W. Europe,24.95187729242224,,24.95187729242224,
Belgium,1993,W. Europe,,7.56,,7.56
Belgium,2015,W. Europe,27.729462531859877,8.48,27.729462531859877,8.48
Bolivia,1992,LAC,49.1100534350699,,,
Bolivia,2015,LAC,46.739953061109176,,,
Bosnia and Herzegovina,1990,EE & CA,,6.4,,
Bosnia and Herzegovina,2015,EE & CA,,9.86,,
Botswana,1993,SS Africa,60.79065038065183,36.08,60.79065038065183,36.08
Botswana,2015,SS Africa,53.32502673276544,22.74,53.32502673276544,22.74
Brazil,1993,LAC,60.11882146405485,23.74,60.11882146405485,23.74
Brazil,2015,LAC,51.930828730557074,22.75,51.930828730557074,22.75
Bulgaria,1992,EE & CA,30.7143080005277,,30.7143080005277,
Bulgaria,1993,EE & CA,,10.47,,10.47
Bulgaria,2015,EE & CA,38.56734715099758,14.26,38.56734715099758,14.26
Burkina Faso,1994,SS Africa,48.07249341528258,21.27,48.07249341528258,21.27
Burkina Faso,2014,SS Africa,35.30122754546736,14.56,35.30122754546736,14.56
Burundi,1992,SS Africa,33.33381193765381,12.53,33.33381193765381,12.53
Burundi,2013,SS Africa,38.62481871355873,14.74,38.62481871355873,14.74
Cameroon,1996,SS Africa,44.44675814039884,18.49,44.44675814039884,18.49
Cameroon,2014,SS Africa,46.64087375714326,15.85,46.64087375714326,15.85
Canada,1993,W. Offshoots,,10.61,,10.61
Canada,1994,W. Offshoots,31.25573609717015,,31.25573609717015,
Canada,2015,W. Offshoots,33.74648246255682,15.7,33.74648246255682,15.7
Chile,1992,LAC,54.81448929154452,,,
Chile,2015,LAC,44.37132767263289,,,
China,1993,East Asia,33.87779950918823,9.29,33.87779950918823,9.29
China,2015,East Asia,38.59530243454563,14.000000000000002,38.59530243454563,14.000000000000002
Colombia,1992,LAC,51.45367251067533,,51.45367251067533,
Colombia,1993,LAC,,19.93,,19.93
Colombia,2015,LAC,50.99042092389902,16.48,50.99042092389902,16.48
Comoros,1995,SS Africa,,29.13,,
Comoros,2014,SS Africa,,14.15,,
Costa Rica,1993,LAC,46.00316399243697,,,
Costa Rica,2015,LAC,48.37614136964541,,,
Cote d'Ivoire,1992,SS Africa,39.38576430802857,,39.38576430802857,
Cote d'Ivoire,1993,SS Africa,,15.22,,15.22
Cote d'Ivoire,2015,SS Africa,41.47479995612572,17.21,41.47479995612572,17.21
Cyprus,1990,EE & CA,,11.57,,
Cyprus,2015,EE & CA,,11.52,,
Czechia,1992,EE & CA,,8.95,,8.95
Czechia,1993,EE & CA,26.60479338599628,,26.60479338599628,
Czechia,2015,EE & CA,25.86743298006773,11.39,25.86743298006773,11.39
Denmark,1992,W. Europe,24.69381040965999,,24.69381040965999,
Denmark,1993,W. Europe,,8.43,,8.43
Denmark,2015,W. Europe,28.17744646029746,12.95,28.17744646029746,12.95
Dominican Republic,1992,LAC,51.359760900231336,,,
Dominican Republic,2015,LAC,45.1816363982718,,,
Ecuador,1994,LAC,53.36896198168978,,,
Ecuador,2015,LAC,45.95429485500616,,,
Egypt,1993,MENA,,16.29,,16.29
Egypt,1995,MENA,30.126960308117027,,30.126960308117027,
