Year,Entity,Gini_equiv_disposable,Top_10_share_equiv_disposable,Bottom_50_share_equiv_disposable,Gini_equiv_market,Top_10_share_equiv_market,Bottom_50_share_equiv_market,Gini_percap_disposable,Top_10_share_percap_disposable,Bottom_50_share_percap_disposable,Gini_percap_market,Top_10_share_percap_market,Bottom_50_share_percap_market
1981,Australia,28.199999999999996,20.7114,30.179,40.400000000000006,25.3814,21.8905,31.3,23.3191,28.4171,31.3,23.3191,28.4171
1985,Australia,29.299999999999997,21.633,29.527499999999996,43.7,27.6839,19.7606,32.5,24.2772,27.7783,32.5,24.2772,27.7783
1989,Australia,30.4,22.4356,28.8189,43.1,27.752,20.1667,33.1,24.6904,27.302799999999998,33.1,24.6904,27.302799999999998
1995,Australia,31.1,22.7384,28.240099999999998,47.0,29.0784,17.0353,32.9,24.6306,27.5334,32.9,24.6306,27.5334
2001,Australia,32.0,23.5894,27.7841,48.1,30.1565,16.2782,33.7,25.1233,26.9225,33.7,25.1233,26.9225
2003,Australia,31.6,23.0152,28.008499999999998,46.9,29.1615,17.1217,33.7,25.1594,26.9625,33.7,25.1594,26.9625
2004,Australia,31.1,23.5554,28.6207,45.7,29.0491,18.3739,32.7,25.0199,27.7169,32.7,25.0199,27.7169
2008,Australia,33.5,25.7203,27.3298,46.9,31.2839,18.0212,35.5,27.4164,26.167900000000003,35.5,27.4164,26.167900000000003
2010,Australia,33.300000000000004,24.8845,27.1446,47.3,30.3982,17.1927,34.9,26.3605,26.3001,34.9,26.3605,26.3001
2014,Australia,32.9,25.5024,27.78,48.1,32.6434,17.459200000000003,34.2,26.7302,27.118299999999998,34.2,26.7302,27.118299999999998
2016,Australia,32.6,24.7741,27.732,45.9,30.7677,18.7156,33.7,25.8249,27.181199999999997,33.7,25.8249,27.181199999999997
2018,Australia,32.9,25.1997,27.7172,46.9,31.7626,18.2276,34.2,26.4557,27.017500000000002,34.2,26.4557,27.017500000000002
1994,Austria,27.800000000000004,21.777,31.069000000000003,43.8,27.268,19.503300000000003,30.8,24.003,29.1101,30.8,24.003,29.1101
1995,Austria,26.6,21.1158,31.8506,43.7,27.6185,19.7262,29.9,23.3414,29.6358,29.9,23.3414,29.6358
1996,Austria,25.8,20.3351,32.064,43.5,27.1217,19.517,29.299999999999997,23.1278,30.0955,29.299999999999997,23.1278,30.0955
1997,Austria,25.5,20.0592,32.3206,43.4,26.7349,19.584699999999998,29.099999999999998,22.644,30.3816,29.099999999999998,22.644,30.3816
1998,Austria,27.500000000000004,22.2563,31.4371,44.9,28.5377,18.8182,31.3,24.9982,29.0709,31.3,24.9982,29.0709
1999,Austria,26.200000000000003,21.2059,32.078199999999995,44.0,27.4915,19.3987,29.7,23.7468,29.805699999999998,29.7,23.7468,29.805699999999998
2000,Austria,25.4,20.6036,32.7149,43.6,27.2789,19.7973,28.9,22.9367,30.2479,28.9,22.9367,30.2479
2003,Austria,26.5,21.3393,31.887999999999998,45.1,28.4883,18.6745,29.599999999999998,23.5392,30.0162,29.599999999999998,23.5392,30.0162
2004,Austria,26.8,22.0364,31.907,45.6,28.9304,18.4123,29.9,23.8801,29.809800000000003,29.9,23.8801,29.809800000000003
2005,Austria,26.0,21.0588,32.2278,46.2,28.376,17.5347,28.799999999999997,22.868,30.3678,28.799999999999997,22.868,30.3678
2006,Austria,26.8,21.7931,31.7895,47.699999999999996,29.7501,16.669800000000002,29.7,23.7801,29.9291,29.7,23.7801,29.9291
2007,Austria,28.4,22.1949,30.625999999999998,48.6,30.7191,16.0955,30.599999999999998,23.8709,29.238599999999998,30.599999999999998,23.8709,29.238599999999998
2008,Austria,28.000000000000004,22.2378,30.9866,49.0,31.1528,15.9883,30.4,24.1139,29.5302,30.4,24.1139,29.5302
2009,Austria,28.9,22.9112,30.447,50.6,32.3594,14.9424,31.4,24.7046,28.861900000000002,31.4,24.7046,28.861900000000002
2010,Austria,28.000000000000004,22.1773,30.9118,49.8,30.9039,15.0692,30.3,23.6672,29.3688,30.3,23.6672,29.3688
2011,Austria,28.199999999999996,22.2599,30.825200000000002,49.6,31.0864,15.2284,30.9,23.8736,28.952199999999998,30.9,23.8736,28.952199999999998
2012,Austria,27.700000000000003,21.7198,31.1267,49.5,30.7545,15.198500000000001,30.599999999999998,23.6161,29.188000000000002,30.599999999999998,23.6161,29.188000000000002
