Year,Entity,Gini_posttax_dis,Gini_posttax_nat,Gini_pretax,Top_10_share_posttax_dis,Top_10_share_posttax_nat,Top_10_share_pretax,Bottom_50_share_posttax_dis,Bottom_50_share_posttax_nat,Bottom_50_share_pretax
2008,Afghanistan,,,52.4523890288169,,,41.94,,,17.16
2012,Afghanistan,,,49.2655841152544,,,38.76,,,19.0
2017,Afghanistan,,,51.5393122176032,,,41.010000000000005,,,17.79
1996,Albania,44.3677878977831,41.414439869780004,46.762983546215494,29.97,28.65,32.57,20.11,22.1,18.8
2002,Albania,45.7921484827258,42.288218285183,48.169804657594604,31.130000000000003,29.51,33.64,19.19,21.54,17.96
2005,Albania,45.0607962239929,41.5015832468348,47.4481877113181,30.630000000000003,29.0,33.12,19.71,22.1,18.43
2008,Albania,44.9408555750216,41.2779737904676,47.2131626400237,30.53,28.860000000000003,33.07,19.77,22.23,18.59
2012,Albania,44.8045082865738,40.9757319508619,46.7515321284942,30.91,29.12,33.0,20.0,22.56,19.05
2015,Albania,45.4366824595269,41.710782167956,49.3067210753804,31.790000000000003,30.01,35.23,19.69,22.17,17.61
2016,Albania,46.1120992503945,42.2333681722573,50.504972333087395,31.98,30.14,35.78,18.92,21.53,16.48
2017,Albania,45.4115623481543,41.6193770812103,49.776038364733196,31.57,29.770000000000003,35.45,19.43,21.98,17.06
2018,Albania,44.7469071268173,41.062778446801005,49.1265798578301,31.06,29.33,35.03,19.88,22.36,17.49
1932,Algeria,,,,,,,,,
1933,Algeria,,,,,,,,,
1934,Algeria,,,,,,,,,
1935,Algeria,,,,,,,,,
1936,Algeria,,,,,,,,,
1937,Algeria,,,,,,,,,
1938,Algeria,,,,,,,,,
1939,Algeria,,,,,,,,,
1940,Algeria,,,,,,,,,
1941,Algeria,,,,,,,,,
1946,Algeria,,,,,,,,,
1947,Algeria,,,,,,,,,
1948,Algeria,,,,,,,,,
1949,Algeria,,,,,,,,,
1950,Algeria,,,,,,,,,
1951,Algeria,,,,,,,,,
1952,Algeria,,,,,,,,,
1953,Algeria,,,,,,,,,
1954,Algeria,,,,,,,,,
1955,Algeria,,,,,,,,,
1957,Algeria,,,,,,,,,
1988,Algeria,,,60.861156970144506,,,51.09,,,13.27
1995,Algeria,,,54.793733280902,,,42.81,,,15.340000000000002
2011,Algeria,,,48.798551142830995,,,38.080000000000005,,,19.02
1995,Angola,,,68.2465771714575,,,58.03,,,9.15
2000,Angola,,,68.2465814322583,,,58.03,,,9.15
2008,Angola,,,60.9367853161926,,,49.32,,,12.23
2018,Angola,,,68.559671704061,,,58.01,,,9.04
1932,Argentina,,,,,,,,,
1933,Argentina,,,,,,,,,
1934,Argentina,,,,,,,,,
1935,Argentina,,,,,,,,,
1936,Argentina,,,,,,,,,
1937,Argentina,,,,,,,,,
1938,Argentina,,,,,,,,,
1939,Argentina,,,,,,,,,
1940,Argentina,,,,,,,,,
1941,Argentina,,,,,,,,,
1942,Argentina,,,,,,,,,
1943,Argentina,,,,,,,,,
1944,Argentina,,,,,,,,,
1945,Argentina,,,,,,,,,
1946,Argentina,,,,,,,,,
1947,Argentina,,,,,,,,,
1948,Argentina,,,,,,,,,
1949,Argentina,,,,,,,,,
1950,Argentina,,,,,,,,,
1951,Argentina,,,,,,,,,
1952,Argentina,,,,,,,,,
1953,Argentina,,,,,,,,,
1954,Argentina,,,,,,,,,
1956,Argentina,,,,,,,,,
1958,Argentina,,,,,,,,,
1959,Argentina,,,,,,,,,
1961,Argentina,,,,,,,,,
2001,Argentina,,61.275055244918995,66.0888058980976,,47.46,50.54,,10.86,7.85
2002,Argentina,,62.5594676971955,66.6747022604395,,49.18,51.580000000000005,,10.41,7.79
2003,Argentina,,58.7883090370058,61.8951946441495,,45.85,47.99,,12.71,10.96
2004,Argentina,,57.1681982506841,60.244077391605,,44.27,46.24,,13.55,11.78
2005,Argentina,,56.00922068506819,59.255115439639404,,42.66,44.64,,14.02,12.09
2006,Argentina,,54.5060413263433,57.9356202747084,,41.33,43.49,,14.760000000000002,12.73
2007,Argentina,,55.349857682804206,58.7504250234598,,43.11,45.31,,14.85,12.86
2008,Argentina,,55.50009460466379,58.64837204950069,,43.94,45.440000000000005,,15.010000000000002,13.06
2009,Argentina,,52.5883650976294,56.8986677963753,,39.82,42.39,,15.78,13.22
2010,Argentina,,52.8696713097521,57.0942913625752,,41.21,43.63,,16.21,13.64
2011,Argentina,,50.721696720142894,55.481900045231,,39.26,42.05,,17.36,14.43
2012,Argentina,,48.6850438088722,53.6660613174198,,36.11,39.05,,18.0,14.95
2013,Argentina,,48.957375373926496,54.1737712518808,,36.77,40.13,,17.97,14.87
2014,Argentina,,50.984577455926306,55.9397848719031,,38.3,41.35,,16.8,13.83
2015,Argentina,,51.49833368112709,56.288186944950304,,39.82,43.24,,16.900000000000002,14.45
2016,Argentina,,52.0120873500702,56.671474522031495,,41.34,45.29,,17.01,15.13
2017,Argentina,,52.5258413373779,58.1354113310097,,42.86,46.41,,17.119999999999997,13.76
2018,Argentina,,53.6127302679913,58.6629653950498,,43.86,46.85,,16.53,13.46
1996,Armenia,,,58.842226078120795,,,46.77,,,13.48
1999,Armenia,,,55.2911803744848,,,44.17,,,15.68
2002,Armenia,,,53.526513685688904,,,42.91,,,16.84
2003,Armenia,,,52.679757944448404,,,42.55,,,17.53
2004,Armenia,,,55.557885030715006,,,45.67,,,16.14
2005,Armenia,,,54.878909431526104,,,45.0,,,16.48
2006,Armenia,,,48.4885356993523,,,37.77,,,19.32
2007,Armenia,,,49.6552854209103,,,38.41,,,18.56
2008,Armenia,,,48.113927882865696,,,36.96,,,19.33
2009,Armenia,,,47.4680356055828,,,36.370000000000005,,,19.74
2010,Armenia,,,49.8014068033392,,,39.12,,,18.78
2011,Armenia,,,48.2049842063567,,,37.29,,,19.48
2012,Armenia,,,48.179293089735594,,,37.7,,,19.63
2013,Armenia,,,48.938826229422,,,37.99,,,19.06
2014,Armenia,,,49.9119021007033,,,39.16,,,18.57
2015,Armenia,,,51.1253043202704,,,40.56,,,18.03
2016,Armenia,,,51.5597946715879,,,39.83,,,17.36
2017,Armenia,,,53.8975675509633,,,43.5,,,16.830000000000002
2018,Armenia,,,53.986422609656906,,,43.74,,,16.74
1912,Australia,,,55.8610328758846,,,42.58,,,14.24
1913,Australia,,,53.387297273510406,,,39.14,,,15.07
1914,Australia,,,51.7152301412921,,,36.83,,,15.63
1915,Australia,,,50.1552583874563,,,34.67,,,16.150000000000002
1916,Australia,,,46.6105147903505,,,29.9,,,17.32
1917,Australia,,,47.2431813252093,,,30.69,,,17.11
1918,Australia,,,47.6439409456098,,,31.230000000000004,,,16.98
1919,Australia,,,55.623587911789194,,,42.24,,,14.32
1920,Australia,,,49.76245882971,,,34.14,,,16.28
1921,Australia,,,53.235121375602304,,,38.940000000000005,,,15.12
1922,Australia,,,50.95363968769529,,,35.79,,,15.88
1923,Australia,,,53.528274495065595,,,39.35,,,15.02
1924,Australia,,,53.442700982552104,,,39.21,,,15.06
1925,Australia,,,52.531869009224195,,,37.96,,,15.36
1926,Australia,,,51.950201428135,,,37.15,,,15.55
1927,Australia,,,53.3019003112649,,,39.04,,,15.1
1928,Australia,,,53.8447976926946,,,39.77,,,14.92
1929,Australia,,,50.927931835808906,,,35.75,,,15.89
1930,Australia,,,48.6986383174404,,,32.690000000000005,,,16.63
1931,Australia,,,47.7043279355378,,,31.33,,,16.950000000000003
1932,Australia,,,47.5493315523814,,,31.12,,,17.0
1933,Australia,,,50.1197709847922,,,34.64,,,16.16
1934,Australia,,,50.19281220648541,,,34.74,,,16.14
1935,Australia,,,50.598176816842496,,,35.3,,,16.0
1936,Australia,,,52.3560350265228,,,37.73,,,15.409999999999998
1937,Australia,,,48.8685215189179,,,32.93,,,16.57
1938,Australia,,,50.21958979878251,,,34.78,,,16.13
1939,Australia,,,51.0298905243268,,,35.9,,,15.86
1940,Australia,,,49.9999032610354,,,34.48,,,16.2
1941,Australia,,,51.0789753614972,,,35.980000000000004,,,15.840000000000002
1942,Australia,,,50.643759686092004,,,35.39,,,15.98
1943,Australia,,,50.7057718425518,,,35.480000000000004,,,15.96
1944,Australia,,,48.3269058298822,,,32.24,,,16.74
1945,Australia,,,46.4738021828371,,,29.7,,,17.349999999999998
1946,Australia,,,48.6543963149074,,,32.68,,,16.63
1947,Australia,,,49.8883425516318,,,34.34,,,16.23
1948,Australia,,,49.669224284251904,,,34.03,,,16.3
1949,Australia,,,49.8880769670045,,,34.300000000000004,,,16.23
1950,Australia,,,49.2502531971841,,,33.83,,,16.32
1951,Australia,,,43.5959397161689,,,27.85,,,17.78
1952,Australia,,,43.226329910690595,,,27.46,,,17.87
1953,Australia,,,43.04742490722,,,27.23,,,17.919999999999998
1954,Australia,,,42.711284662140095,,,26.73,,,18.05
1955,Australia,,,42.464921035924704,,,26.36,,,18.15
1956,Australia,,,42.6391292464616,,,26.63,,,18.08
1957,Australia,,,40.9064180676311,,,24.74,,,18.52
1958,Australia,,,46.8681999249836,,,30.3,,,17.22
1959,Australia,,,45.5914062375108,,,28.55,,,17.64
1960,Australia,,,45.434192071516996,,,28.34,,,17.69
1961,Australia,,,45.547120555348094,,,28.360000000000003,,,17.59
1962,Australia,,,46.025927146350796,,,28.87,,,17.37
