"","country","year","code","VA","COMP","LAB","CAP","desc"
"1","Australia",1970,"AtB",2698.51884540906,324.640158168165,1097.9594247029,1600.55942070616,"AGRICULTURE, HUNTING, FORESTRY AND FISHING"
"2","Australia",1971,"AtB",3006.17605934562,363.448415172829,1223.38285086074,1782.79320848489,"AGRICULTURE, HUNTING, FORESTRY AND FISHING"
"3","Australia",1972,"AtB",4005.85750699633,483.9524589158,1638.35427204835,2367.50323494799,"AGRICULTURE, HUNTING, FORESTRY AND FISHING"
"4","Australia",1973,"AtB",5501.08692918089,702.692693513168,2359.07862760759,3142.00830157329,"AGRICULTURE, HUNTING, FORESTRY AND FISHING"
"5","Australia",1974,"AtB",4731.18839281431,699.066192167118,2353.87749431045,2377.31089850386,"AGRICULTURE, HUNTING, FORESTRY AND FISHING"
"6","Australia",1975,"AtB",4808.88093309732,698.813859412282,2369.81045277086,2439.07048032646,"AGRICULTURE, HUNTING, FORESTRY AND FISHING"
"7","Australia",1976,"AtB",5470.52698559734,759.540577333975,2570.86725436653,2899.65973123081,"AGRICULTURE, HUNTING, FORESTRY AND FISHING"
"8","Australia",1977,"AtB",5287.53009311956,735.206047896186,2462.08535564873,2825.44473747083,"AGRICULTURE, HUNTING, FORESTRY AND FISHING"
"9","Australia",1978,"AtB",8257.26034238625,1071.80311384606,3567.84606762503,4689.41427476122,"AGRICULTURE, HUNTING, FORESTRY AND FISHING"
"10","Australia",1979,"AtB",9419.91843078261,1202.0982572477,4017.46639539074,5402.45203539187,"AGRICULTURE, HUNTING, FORESTRY AND FISHING"
"11","Australia",1980,"AtB",8964.76253478004,1348.70338334642,4466.20824185034,4498.5542929297,"AGRICULTURE, HUNTING, FORESTRY AND FISHING"
"12","Australia",1981,"AtB",9493.44214142354,1545.49498384205,5141.41587810839,4352.02626331515,"AGRICULTURE, HUNTING, FORESTRY AND FISHING"
