"Entity","WID_region","region_alt"
"Andorra","Europe","Europe"
"United Arab Emirates","MENA","MENA"
"Afghanistan","South & South-East Asia","South & South-East Asia"
"Antigua and Barbuda","Latin America","Latin America"
"Anguilla","Latin America","Latin America"
"Albania","Europe","Eastern Europe & Central Asia"
"Armenia","Russia & Central Asia","Eastern Europe & Central Asia"
"Netherlands Antilles","Latin America","Latin America"
"Angola","Sub-Saharan Africa","Sub-Saharan Africa"
"Argentina","Latin America","Latin America"
"American Samoa","North America & Oceania","North America & Oceania"
"Austria","Europe","Europe"
"Australia","North America & Oceania","North America & Oceania"
"Aruba","Latin America","Latin America"
"Azerbaijan","Russia & Central Asia","Eastern Europe & Central Asia"
"Bosnia and Herzegovina","Europe","Eastern Europe & Central Asia"
"Barbados","Latin America","Latin America"
"Bangladesh","South & South-East Asia","South & South-East Asia"
"Belgium","Europe","Europe"
"Burkina Faso","Sub-Saharan Africa","Sub-Saharan Africa"
"Bulgaria","Europe","Eastern Europe & Central Asia"
"Bahrain","MENA","MENA"
"Burundi","Sub-Saharan Africa","Sub-Saharan Africa"
"Benin","Sub-Saharan Africa","Sub-Saharan Africa"
"Bermuda","North America & Oceania","North America & Oceania"
"Brunei","South & South-East Asia","South & South-East Asia"
"Bolivia","Latin America","Latin America"
"Brazil","Latin America","Latin America"
"Bahamas","Latin America","Latin America"
"Bhutan","South & South-East Asia","South & South-East Asia"
"Botswana","Sub-Saharan Africa","Sub-Saharan Africa"
"Belarus","Russia & Central Asia","Eastern Europe & Central Asia"
"Belize","Latin America","Latin America"
"Canada","North America & Oceania","North America & Oceania"
"Democratic Republic of Congo","Sub-Saharan Africa","Sub-Saharan Africa"
"Central African Republic","Sub-Saharan Africa","Sub-Saharan Africa"
"Congo","Sub-Saharan Africa","Sub-Saharan Africa"
"Switzerland","Europe","Europe"
"Cote d'Ivoire","Sub-Saharan Africa","Sub-Saharan Africa"
"Cook Islands","North America & Oceania","North America & Oceania"
"Chile","Latin America","Latin America"
"Cameroon","Sub-Saharan Africa","Sub-Saharan Africa"
"China","East Asia","East Asia"
"Colombia","Latin America","Latin America"
"Costa Rica","Latin America","Latin America"
"Czechoslovakia","","Eastern Europe & Central Asia"
"Cuba","Latin America","Latin America"
"Cape Verde","Sub-Saharan Africa","Sub-Saharan Africa"
"Curacao","Latin America","Latin America"
"Cyprus","Europe","Eastern Europe & Central Asia"
"Czechia","Europe","Eastern Europe & Central Asia"
"East Germany","Europe","Europe"
"Germany","Europe","Europe"
"Djibouti","Sub-Saharan Africa","Sub-Saharan Africa"
"Denmark","Europe","Europe"
"Dominica","Latin America","Latin America"
"Dominican Republic","Latin America","Latin America"
"Algeria","MENA","MENA"
"Ecuador","Latin America","Latin America"
"Estonia","Europe","Eastern Europe & Central Asia"
"Egypt","MENA","MENA"
"Western Sahara","MENA","MENA"
"Eritrea","Sub-Saharan Africa","Sub-Saharan Africa"
"Spain","Europe","Europe"
"Ethiopia","Sub-Saharan Africa","Sub-Saharan Africa"
"Finland","Europe","Europe"
"Fiji","North America & Oceania","North America & Oceania"
"Falkland Islands","Latin America","Latin America"
"Micronesia (country)","North America & Oceania","North America & Oceania"
"Faeroe Islands","Europe","Europe"
"France","Europe","Europe"
"Gabon","Sub-Saharan Africa","Sub-Saharan Africa"
"United Kingdom","Europe","Europe"
"Grenada","Latin America","Latin America"
"Georgia","Russia & Central Asia","Eastern Europe & Central Asia"
"Ghana","Sub-Saharan Africa","Sub-Saharan Africa"
"Gibraltar","Europe","Europe"
"Greenland","North America & Oceania","North America & Oceania"
"Gambia","Sub-Saharan Africa","Sub-Saharan Africa"
"Guinea","Sub-Saharan Africa","Sub-Saharan Africa"
"Equatorial Guinea","Sub-Saharan Africa","Sub-Saharan Africa"
"Greece","Europe","Europe"
"Guatemala","Latin America","Latin America"
"Guam","North America & Oceania","North America & Oceania"
"Guinea-Bissau","Sub-Saharan Africa","Sub-Saharan Africa"
"Guyana","Latin America","Latin America"
"Hong Kong","East Asia","East Asia"
"Honduras","Latin America","Latin America"
"Croatia","Europe","Eastern Europe & Central Asia"
"Haiti","Latin America","Latin America"
"Hungary","Europe","Eastern Europe & Central Asia"
"Indonesia","South & South-East Asia","South & South-East Asia"
"Ireland","Europe","Europe"
"Israel","MENA","MENA"
"Isle of Man","Europe","Europe"
"India","South & South-East Asia","South & South-East Asia"
"Iraq","MENA","MENA"
"Iran","MENA","MENA"
"Iceland","Europe","Europe"
"Italy","Europe","Europe"
"Jamaica","Latin America","Latin America"
"Jordan","MENA","MENA"
"Japan","East Asia","East Asia"
"Kenya","Sub-Saharan Africa","Sub-Saharan Africa"
"Kyrgyzstan","Russia & Central Asia","Eastern Europe & Central Asia"
"Cambodia","South & South-East Asia","South & South-East Asia"
"Kiribati","North America & Oceania","North America & Oceania"
"Comoros","Sub-Saharan Africa","Sub-Saharan Africa"
"Saint Kitts and Nevis","Latin America","Latin America"
"North Korea","East Asia","East Asia"
"South Korea","East Asia","East Asia"
"Kosovo","Europe","Eastern Europe & Central Asia"
"Kuwait","MENA","MENA"
"Cayman Islands","Latin America","Latin America"
"Kazakhstan","Russia & Central Asia","Eastern Europe & Central Asia"
"Laos","South & South-East Asia","South & South-East Asia"
"Lebanon","MENA","MENA"
"Saint Lucia","Latin America","Latin America"
"Liechtenstein","Europe","Europe"
"Sri Lanka","South & South-East Asia","South & South-East Asia"
"Liberia","Sub-Saharan Africa","Sub-Saharan Africa"
"Lesotho","Sub-Saharan Africa","Sub-Saharan Africa"
"Lithuania","Europe","Eastern Europe & Central Asia"
"Luxembourg","Europe","Europe"
"Latvia","Europe","Eastern Europe & Central Asia"
"Libya","MENA","MENA"
"Morocco","MENA","MENA"
"Monaco","Europe","Europe"
"Moldova","Europe","Eastern Europe & Central Asia"
"Montenegro","Europe","Eastern Europe & Central Asia"
"Madagascar","Sub-Saharan Africa","Sub-Saharan Africa"
"Marshall Islands","North America & Oceania","North America & Oceania"
"North Macedonia","Europe","Eastern Europe & Central Asia"
"Mali","Sub-Saharan Africa","Sub-Saharan Africa"
"Myanmar","South & South-East Asia","South & South-East Asia"
"Mongolia","East Asia","East Asia"
"Macao","East Asia","East Asia"
"Northern Mariana Islands","North America & Oceania","North America & Oceania"
"Mauritania","Sub-Saharan Africa","Sub-Saharan Africa"
"Montserrat","Europe","Europe"
"Malta","Europe","Europe"
"Mauritius","Sub-Saharan Africa","Sub-Saharan Africa"
"Maldives","South & South-East Asia","South & South-East Asia"
"Malawi","Sub-Saharan Africa","Sub-Saharan Africa"
"Mexico","Latin America","Latin America"
"Malaysia","South & South-East Asia","South & South-East Asia"
"Mozambique","Sub-Saharan Africa","Sub-Saharan Africa"
"Namibia","Sub-Saharan Africa","Sub-Saharan Africa"
"New Caledonia","North America & Oceania","North America & Oceania"
"Niger","Sub-Saharan Africa","Sub-Saharan Africa"
"Nigeria","Sub-Saharan Africa","Sub-Saharan Africa"
"Nicaragua","Latin America","Latin America"
"Netherlands","Europe","Europe"
"Norway","Europe","Europe"
"Nepal","South & South-East Asia","South & South-East Asia"
"Nauru","North America & Oceania","North America & Oceania"
"Niue","North America & Oceania","North America & Oceania"
"New Zealand","North America & Oceania","North America & Oceania"
"Oman","MENA","MENA"
"Panama","Latin America","Latin America"
"Peru","Latin America","Latin America"
"French Polynesia","North America & Oceania","North America & Oceania"
"Papua New Guinea","North America & Oceania","North America & Oceania"
"Philippines","South & South-East Asia","South & South-East Asia"
"Pakistan","South & South-East Asia","South & South-East Asia"
"Poland","Europe","Eastern Europe & Central Asia"
"Saint Pierre and Miquelon","North America & Oceania","North America & Oceania"
"Puerto Rico","Latin America","Latin America"
"Palestine","MENA","MENA"
"Portugal","Europe","Europe"
"Palau","North America & Oceania","North America & Oceania"
"Paraguay","Latin America","Latin America"
"Qatar","MENA","MENA"
"Romania","Europe","Eastern Europe & Central Asia"
"Serbia","Europe","Eastern Europe & Central Asia"
"Russia","Russia & Central Asia","Eastern Europe & Central Asia"
"Rwanda","Sub-Saharan Africa","Sub-Saharan Africa"
"Saudi Arabia","MENA","MENA"
"Solomon Islands","North America & Oceania","North America & Oceania"
"Seychelles","Sub-Saharan Africa","Sub-Saharan Africa"
"Sudan","Sub-Saharan Africa","Sub-Saharan Africa"
"Sweden","Europe","Europe"
"Singapore","South & South-East Asia","South & South-East Asia"
"Saint Helena","Sub-Saharan Africa","Sub-Saharan Africa"
"Slovenia","Europe","Eastern Europe & Central Asia"
"Slovakia","Europe","Eastern Europe & Central Asia"
"Sierra Leone","Sub-Saharan Africa","Sub-Saharan Africa"
"San Marino","Europe","Europe"
"Senegal","Sub-Saharan Africa","Sub-Saharan Africa"
"Somalia","Sub-Saharan Africa","Sub-Saharan Africa"
"Suriname","Latin America","Latin America"
"South Sudan","Sub-Saharan Africa","Sub-Saharan Africa"
"Sao Tome and Principe","Sub-Saharan Africa","Sub-Saharan Africa"
"USSR","",""
"El Salvador","Latin America","Latin America"
"Sint Maarten (Dutch part)","Latin America","Latin America"
"Syria","MENA","MENA"
"Eswatini","Sub-Saharan Africa","Sub-Saharan Africa"
"Turks and Caicos Islands","Latin America","Latin America"
"Chad","Sub-Saharan Africa","Sub-Saharan Africa"
"Togo","Sub-Saharan Africa","Sub-Saharan Africa"
"Thailand","South & South-East Asia","South & South-East Asia"
"Tajikistan","Russia & Central Asia","Eastern Europe & Central Asia"
"Tokelau","North America & Oceania","North America & Oceania"
"Timor","South & South-East Asia","South & South-East Asia"
"Turkmenistan","Russia & Central Asia","Eastern Europe & Central Asia"
"Tunisia","MENA","MENA"
"Tonga","North America & Oceania","North America & Oceania"
"Turkey","MENA","MENA"
"Trinidad and Tobago","Latin America","Latin America"
"Tuvalu","North America & Oceania","North America & Oceania"
"Taiwan","East Asia","East Asia"
"Tanzania","Sub-Saharan Africa","Sub-Saharan Africa"
"Ukraine","Russia & Central Asia","Eastern Europe & Central Asia"
"Uganda","Sub-Saharan Africa","Sub-Saharan Africa"
"United States","North America & Oceania","North America & Oceania"
"Uruguay","Latin America","Latin America"
"Uzbekistan","Russia & Central Asia","Eastern Europe & Central Asia"
"Vatican","Europe","Europe"
"Saint Vincent and the Grenadines","Latin America","Latin America"
"Venezuela","Latin America","Latin America"
"British Virgin Islands","Latin America","Latin America"
"United States Virgin Islands","Latin America","Latin America"
"Vietnam","South & South-East Asia","South & South-East Asia"
"Vanuatu","North America & Oceania","North America & Oceania"
"Wallis and Futuna","North America & Oceania","North America & Oceania"
"Samoa","North America & Oceania","North America & Oceania"
"Channel Islands","Europe","Europe"
"Yemen","MENA","MENA"
"Yugoslavia","Europe","Eastern Europe & Central Asia"
"South Africa","Sub-Saharan Africa","Sub-Saharan Africa"
"Zambia","Sub-Saharan Africa","Sub-Saharan Africa"
"Zimbabwe","Sub-Saharan Africa","Sub-Saharan Africa"
"Zanzibar","Sub-Saharan Africa","Sub-Saharan Africa"
