Year,Entity,Gini,Top_10_share,Bottom_50_share,MLD,welfare_type
1996,Albania,27.01034197508885,21.21557312580965,31.23301974406617,0.1191043265843859,consumption
2002,Albania,31.73897983352211,25.435636949619266,28.58681146768849,0.1648115996389384,consumption
2005,Albania,30.59565572811917,24.3411680965624,29.28926838081918,0.1544127564826953,consumption
2008,Albania,29.98467042234797,24.458310898489017,29.85454148518228,0.1488933809532339,consumption
2012,Albania,28.960484558592093,22.93433964125372,30.110824127713443,0.1384170680420969,consumption
2014,Albania,34.59889646678993,25.54432240126554,26.07365582975956,0.1986615663134147,consumption
2015,Albania,32.75373177638622,24.77930791254988,27.467186760142802,0.1754954700241342,consumption
2016,Albania,33.73629871613544,25.04955458194103,26.69053825504254,0.1875805822918761,consumption
2016,Albania,38.56564270560209,27.46694868275898,23.553176390783992,0.2737398437318146,income
2017,Albania,33.0556627406811,24.61243013288557,27.141175436343744,0.1799084650483842,consumption
2017,Albania,37.09512668663948,26.45336326502365,24.52985749431633,0.2541749295129492,income
2018,Albania,30.14828173658326,22.74231233085836,29.118465655496742,0.1524044142302725,consumption
2018,Albania,35.98875190138543,26.0018688293932,25.26795173207903,0.2330512870273137,income
2019,Albania,30.77173903513966,23.75788003269388,28.84861339310754,0.1546262875496766,consumption
1988,Algeria,40.19490917151458,32.812365151613385,24.174448131856856,0.2817322920908802,consumption
1995,Algeria,35.33005431139451,26.888585661938706,25.99770959729917,0.2085175579872219,consumption
2011,Algeria,27.615730916236853,22.86235803489025,31.264952882581092,0.1253313306653883,consumption
2000,Angola,51.956892491128755,40.24551558101154,16.67909018668339,0.5125764608983155,consumption
2008,Angola,42.7155149878257,32.31173389803934,21.591433658763002,0.3116315023215396,consumption
2018,Angola,51.27211119824917,39.624425967731405,17.01769126395503,0.4778896475751662,consumption
1980,Argentina,40.83086045604474,30.17537072128842,22.45604138788032,0.2918472108158794,income
1986,Argentina,42.80888699353998,32.20808275566343,21.663421829861058,0.3314282934552988,income
1987,Argentina,45.276366076962,34.2518896981301,20.2310840619386,0.3699705799852663,income
1991,Argentina,46.761739105939995,36.60929128787875,19.91660371110186,0.3824355608134426,income
1992,Argentina,45.46809298082467,34.28712165406062,20.00554250788896,0.3693295137385985,income
1993,Argentina,44.85628585171292,33.20138920033517,20.18615226924967,0.3662670416353509,income
1994,Argentina,45.91680359255017,34.44659696165871,19.71760205735755,0.3802998646724758,income
1995,Argentina,48.90440325027265,36.97560342797953,18.09434255218301,0.4406590050235759,income
1996,Argentina,49.52442938019691,36.88060653953715,17.546877728390513,0.4600137246038192,income
1997,Argentina,49.11047521919295,36.37426934293176,17.68976012799682,0.4495536172745649,income
1998,Argentina,50.7336437789718,38.05133958193847,16.84362077829714,0.4774046445882275,income
1999,Argentina,49.79204137208139,37.04826959402942,17.27086776073857,0.4618117851188393,income
2000,Argentina,51.06395767594252,37.70048651577811,16.36129735855332,0.4927968981152795,income
2001,Argentina,53.34310600620975,39.47738588365032,15.0190092400926,0.5509105013980625,income
2002,Argentina,53.793758337796405,40.50619021272617,15.02849060514508,0.5422985801297211,income
2003,Argentina,50.89715698379784,37.68532394737455,16.486607955431502,0.4864336376292281,income
2004,Argentina,48.37703458741336,35.23599359729962,17.749907563115528,0.4351938299991334,income
2005,Argentina,47.70735509214673,34.89429285140151,18.22650054224922,0.4204570379860013,income
2006,Argentina,46.346079967163526,33.73475466470071,18.94948055358052,0.4008061347027418,income
2007,Argentina,46.173556313334764,33.6722634156849,19.06327980228641,0.3923191189955698,income
2008,Argentina,44.87679026711821,32.40760020448765,19.791499673484232,0.3722772250898831,income
2009,Argentina,43.65419704989163,31.249503157101,20.445919622039945,0.3530367598433817,income
2010,Argentina,43.58321825728346,31.7001107905312,20.63274769396248,0.3435880831404799,income
2011,Argentina,42.64528063979222,30.95709934596045,21.15903507447926,0.326800680405081,income
2012,Argentina,41.32619793924652,29.683242510486927,21.8237212911569,0.3092803598106282,income
2013,Argentina,40.94544219759075,29.37188848766573,22.03288887343279,0.3027205681421216,income
2014,Argentina,41.63278985481589,29.92117818211179,21.63195081775044,0.3090274895901895,income
2016,Argentina,42.03252890095214,30.41932492186919,21.50369109079568,0.3168453272380374,income
2017,Argentina,41.134488438728376,29.7044196449902,22.022865158496153,0.3035005649047078,income
2018,Argentina,41.3424983747329,29.83020878175115,21.86661836191659,0.3085873002624958,income
2019,Argentina,42.90585043967283,31.0145686349615,20.95155785341236,0.3322307809665997,income
2020,Argentina,42.34329107083751,30.30282523027129,21.074826829043822,0.3205251064810617,income
1996,Armenia,44.41862299727733,35.22151334373353,21.19570046749689,0.3354787297875751,income
1999,Armenia,36.21972429976161,29.62717127470397,26.31874648157614,0.218430022682792,consumption
2001,Armenia,35.36435897259906,29.09673959736316,26.929963873099812,0.2063373834688429,consumption
