Year,Entity,Gini,Top_10_share,Bottom_50_share
1998,United Arab Emirates,65.6802051963233,54.19,9.97
2009,United Arab Emirates,67.6088348550998,56.19,8.84
2013,United Arab Emirates,61.7477285610356,48.38,11.14
2014,United Arab Emirates,62.0527349231921,48.58,10.96
2018,United Arab Emirates,59.44058445381341,47.78,12.81
2008,Afghanistan,52.4523890288169,41.94,17.16
2012,Afghanistan,49.2655841152544,38.76,19.0
2017,Afghanistan,51.5393122176032,41.01,17.79
1996,Albania,46.762983546215494,32.57,18.8
2002,Albania,48.169804657594604,33.64,17.96
2005,Albania,47.4481877113181,33.12,18.43
2008,Albania,47.2131626400237,33.07,18.59
2012,Albania,46.7515321284942,33.0,19.05
2015,Albania,49.3067210753804,35.23,17.61
2016,Albania,50.504972333087395,35.78,16.48
2017,Albania,49.776038364733196,35.45,17.06
2018,Albania,49.1265747704805,35.03,17.49
1996,Armenia,58.842226078120795,46.77,13.48
1999,Armenia,55.2911803744848,44.17,15.68
2002,Armenia,53.526513685688904,42.91,16.84
2003,Armenia,52.679757944448404,42.55,17.53
2004,Armenia,55.557885030715006,45.67,16.14
2005,Armenia,54.878909431526104,45.0,16.48
2006,Armenia,48.4885356993523,37.77,19.32
2007,Armenia,49.6552854209103,38.41,18.56
2008,Armenia,48.113927882865696,36.96,19.33
2009,Armenia,47.4680356055828,36.37,19.74
2010,Armenia,49.8014068033392,39.12,18.78
2011,Armenia,48.2049842063567,37.29,19.48
2012,Armenia,48.179293089735594,37.7,19.63
2013,Armenia,48.938826229422,37.99,19.06
2014,Armenia,49.9119021007033,39.16,18.57
2015,Armenia,51.1253043202704,40.56,18.03
2016,Armenia,51.5597946715879,39.83,17.36
2017,Armenia,53.8975675509633,43.5,16.83
2018,Armenia,53.986422609656906,43.74,16.74
1995,Angola,68.2465771714575,58.03,9.15
2000,Angola,68.2465814322583,58.03,9.15
2008,Angola,60.9367853161926,49.32,12.23
2018,Angola,68.559671704061,58.01,9.04
1932,Argentina,,,
1933,Argentina,,,
1934,Argentina,,,
1935,Argentina,,,
1936,Argentina,,,
1937,Argentina,,,
1938,Argentina,,,
1939,Argentina,,,
1940,Argentina,,,
1941,Argentina,,,
1942,Argentina,,,
1943,Argentina,,,
1944,Argentina,,,
1945,Argentina,,,
1946,Argentina,,,
1947,Argentina,,,
1948,Argentina,,,
1949,Argentina,,,
1950,Argentina,,,
1951,Argentina,,,
1952,Argentina,,,
1953,Argentina,,,
1954,Argentina,,,
1956,Argentina,,,
1958,Argentina,,,
1959,Argentina,,,
1961,Argentina,,,
2001,Argentina,66.0888058980976,50.54,7.85
2002,Argentina,66.6745331993508,51.58,7.79
2003,Argentina,61.8941484166828,47.99,10.96
2004,Argentina,60.244077391605,46.24,11.78
2005,Argentina,59.255115439639404,44.64,12.09
2006,Argentina,57.9356132941546,43.49,12.73
2007,Argentina,58.749714994507194,45.31,12.86
2008,Argentina,58.64837204950069,45.44,13.06
2009,Argentina,56.8986092133659,42.39,13.22
2010,Argentina,57.0942913625752,43.63,13.64
2011,Argentina,55.481900045231,42.05,14.43
2012,Argentina,53.6660613174198,39.05,14.95
