,Entity,WID_region,sub-region,region_alt
0,Andorra,Europe,Western Europe,Western Europe
1,United Arab Emirates,MENA,West Asia,MENA
2,Afghanistan,South & South-East Asia,South Asia,South & South-East Asia
3,Antigua and Barbuda,Latin America,Caribbean,Latin America
4,Anguilla,Latin America,Caribbean,Latin America
5,Albania,Europe,Eastern Europe,Eastern Europe & Central Asia
6,Armenia,Russia & Central Asia,West Asia,Eastern Europe & Central Asia
7,Netherlands Antilles,Latin America,Caribbean,Latin America
8,Angola,Sub-Saharan Africa,Middle Africa,Sub-Saharan Africa
9,Argentina,Latin America,South America,Latin America
10,American Samoa,North America & Oceania,Oceania (excl. Australia and New Zealand),North America & Oceania
11,Austria,Europe,Western Europe,Western Europe
12,Australia,North America & Oceania,Australia and New Zealand,North America & Oceania
13,Aruba,Latin America,Caribbean,Latin America
14,Azerbaijan,Russia & Central Asia,West Asia,Eastern Europe & Central Asia
15,Bosnia and Herzegovina,Europe,Eastern Europe,Eastern Europe & Central Asia
16,Barbados,Latin America,Caribbean,Latin America
17,Bangladesh,South & South-East Asia,Southern Asia,South & South-East Asia
18,Belgium,Europe,Western Europe,Western Europe
19,Burkina Faso,Sub-Saharan Africa,West Africa,Sub-Saharan Africa
20,Bulgaria,Europe,Eastern Europe,Eastern Europe & Central Asia
21,Bahrain,MENA,West Asia,MENA
22,Burundi,Sub-Saharan Africa,East Africa,Sub-Saharan Africa
23,Benin,Sub-Saharan Africa,Western Africa,Sub-Saharan Africa
24,Bermuda,North America & Oceania,North America,North America & Oceania
25,Brunei,South & South-East Asia,South-East Asia,South & South-East Asia
26,Bolivia,Latin America,South America,Latin America
27,Brazil,Latin America,South America,Latin America
28,Bahamas,Latin America,Caribbean,Latin America
29,Bhutan,South & South-East Asia,South Asia,South & South-East Asia
30,Botswana,Sub-Saharan Africa,South Africa,Sub-Saharan Africa
31,Belarus,Russia & Central Asia,Western Asia,Eastern Europe & Central Asia
32,Belize,Latin America,Central America,Latin America
33,Canada,North America & Oceania,North America,North America & Oceania
34,Democratic Republic of Congo,Sub-Saharan Africa,Middle Africa,Sub-Saharan Africa
35,Central African Republic,Sub-Saharan Africa,Middle Africa,Sub-Saharan Africa
36,Congo,Sub-Saharan Africa,Middle Africa,Sub-Saharan Africa
37,Switzerland,Europe,Western Europe,Western Europe
38,Cote d'Ivoire,Sub-Saharan Africa,West Africa,Sub-Saharan Africa
39,Cook Islands,North America & Oceania,Oceania (excl. Australia and New Zealand),North America & Oceania
40,Chile,Latin America,South America,Latin America
41,Cameroon,Sub-Saharan Africa,Middle Africa,Sub-Saharan Africa
42,China,East Asia,East Asia,East Asia
43,Colombia,Latin America,South America,Latin America
44,Costa Rica,Latin America,Central America,Latin America
45,Czechoslovakia,,Eastern Europe,Eastern Europe & Central Asia
46,Cuba,Latin America,Caribbean,Latin America
47,Cape Verde,Sub-Saharan Africa,West Africa,Sub-Saharan Africa
48,Curacao,Latin America,Caribbean,Latin America
49,Cyprus,Europe,Eastern Europe,Eastern Europe & Central Asia
50,Czechia,Europe,Eastern Europe,Eastern Europe & Central Asia
51,East Germany,Europe,Western Europe,Western Europe
52,Germany,Europe,Western Europe,Western Europe
53,Djibouti,Sub-Saharan Africa,East Africa,Sub-Saharan Africa
54,Denmark,Europe,Western Europe,Western Europe
55,Dominica,Latin America,Caribbean,Latin America
56,Dominican Republic,Latin America,Caribbean,Latin America
57,Algeria,MENA,North Africa,MENA
58,Ecuador,Latin America,South America,Latin America
59,Estonia,Europe,Eastern Europe,Eastern Europe & Central Asia
60,Egypt,MENA,North Africa,MENA
61,Western Sahara,MENA,North Africa,MENA
62,Eritrea,Sub-Saharan Africa,East Africa,Sub-Saharan Africa
63,Spain,Europe,Western Europe,Western Europe
64,Ethiopia,Sub-Saharan Africa,East Africa,Sub-Saharan Africa
65,Finland,Europe,Western Europe,Western Europe
66,Fiji,North America & Oceania,Oceania (excl. Australia and New Zealand),North America & Oceania
67,Falkland Islands,Latin America,South America,Latin America
68,Micronesia (country),North America & Oceania,Oceania (excl. Australia and New Zealand),North America & Oceania
69,Faeroe Islands,Europe,Western Europe,Western Europe
70,France,Europe,Western Europe,Western Europe
71,Gabon,Sub-Saharan Africa,Middle Africa,Sub-Saharan Africa
72,United Kingdom,Europe,Western Europe,Western Europe
73,Grenada,Latin America,Caribbean,Latin America
74,Georgia,Russia & Central Asia,West Asia,Eastern Europe & Central Asia
75,Ghana,Sub-Saharan Africa,West Africa,Sub-Saharan Africa
76,Gibraltar,Europe,Western Europe,Western Europe
77,Greenland,North America & Oceania,North America,North America & Oceania
78,Gambia,Sub-Saharan Africa,West Africa,Sub-Saharan Africa
